"Function","Random_effect","Actinobacteriota_slope","Bacteroidota_slope","Firmicutes_slope","Proteobacteria_slope","Actinobacteriota_pred_70","Actinobacteriota_pred_80","Actinobacteriota_pred_90","Actinobacteriota_pred_100","Bacteroidota_pred_70","Bacteroidota_pred_80","Bacteroidota_pred_90","Bacteroidota_pred_100","Firmicutes_pred_70","Firmicutes_pred_80","Firmicutes_pred_90","Firmicutes_pred_100","Proteobacteria_pred_70","Proteobacteria_pred_80","Proteobacteria_pred_90","Proteobacteria_pred_100","R2_m","R2_c","pvalue","pvalue_int"
"M00001","Random_slope",0.0855511629518018,0.0779303868556092,0.055994645304382,0.0544004540685768,0.357562028982133,0.566982480146329,0.754926429112976,0.878742281528799,0.648085058212909,0.800582076044514,0.897453060974451,0.950194631163271,0.642215144893276,0.758585103170503,0.846171593158305,0.90592216165713,0.504950387892082,0.637332887953821,0.751720841238085,0.839136312781083,0.0713118293509241,0.0843641931479515,4.77878606143361e-22,0.0175703799354645
"M00002","Random_intercept",0.109040865957496,0.0541961129058693,0.0375124820364374,0.0878673234855769,0.454297285739181,0.712403520766102,0.880533793783722,0.956391006448185,0.718081083826903,0.814107538142439,0.88276569266046,0.928298813433493,0.793878207737522,0.848590372717083,0.890777975758148,0.922287243672718,0.54492313185401,0.742471029424264,0.874079972078604,0.943544888316366,0.0164057882036,0.0224950384303159,5.03739215021786e-31,7.11393062428558e-05
"M00003","Random_slope",0.0946950278683307,0.097898357800591,0.0568867484342318,0.0711414682372552,0.482003658699724,0.70577128193755,0.860792048503628,0.940968272111509,0.629134493303436,0.818688801082476,0.923188050346974,0.969688752776735,0.649744958252774,0.766165717641653,0.85266443085421,0.910887581549294,0.600907869003468,0.754111863454415,0.862009172544225,0.927135176097285,0.0844505281208192,0.100552518987042,1.10385380405448e-16,0.000618294066354401
"M00004","Random_slope",0.0924429965586026,0.04859215397307,0.0361934076932343,0.0362529763092058,0.248257510942495,0.454253961859337,0.677199769331677,0.840956558776369,0.360729034268315,0.478443422869851,0.59860158301801,0.7079737429334,0.440291648003032,0.530451160410363,0.618665937231264,0.699690340631392,0.480862928841708,0.571002884649658,0.656666461360601,0.733216508063042,0.0266849893430297,0.043791218621601,3.87882441995311e-11,0.000440182386909969
"M00005","Random_slope",0.139462747975768,0.117701731314078,0.130996048257374,0.0355548911215754,0.422753182768211,0.747088884476654,0.922568899189178,0.979615813142995,0.65033976117372,0.857850474509978,0.951411862022637,0.984504440942117,0.576446453841058,0.834541628284472,0.949219299018906,0.985770186687805,0.641854974686741,0.718892220186078,0.784911635099393,0.838900661273792,0.0745901021866332,0.124413770303136,9.50077240520257e-06,0.020186904052575
"M00006","Random_slope",0.0575381046759254,0.069441036140134,0.0473689908567605,0.0615464258375312,0.122214946725119,0.198413548031516,0.305581496320962,0.438937011676895,0.0549084925039247,0.104218826480947,0.188958316649108,0.31812919187522,0.1156914788393,0.173619511738288,0.25227807344583,0.35141862545375,0.0828476484376328,0.143219176059151,0.236251483405754,0.364038715567806,0.0320810364398947,0.0972772897970453,5.51775098780668e-05,0.754635120578198
"M00007","Random_slope",0.133696272264039,0.0583287201033196,0.0454013624842449,0.0514447260529692,0.271209719287564,0.586246292022861,0.843622455826189,0.953575645417184,0.449112955193684,0.593639573293621,0.723585875431033,0.82427823046664,0.539577044026654,0.648545901982189,0.743962610820924,0.820638727469362,0.60872029868191,0.722397135646005,0.813183623209396,0.8792426775596,0.0406679342513461,0.0591550050635238,2.01911226767596e-08,0.00157303926750603
"M00008","Random_slope",0.0839931690851524,0.0418668201676097,0.0438385971863285,0.0399983827488931,0.0346039202011081,0.0766584198032018,0.161283629387738,0.308151295792214,0.115500488979374,0.165608106455183,0.231758048071931,0.314375365987575,0.11875763692873,0.172807101811796,0.244627198275132,0.334235533247318,0.154116749707512,0.213713131392056,0.288495292959976,0.376901804526754,0.0306790652544655,0.0581211778444615,4.49094832835108e-05,0.401217434964589
"M00009","Random_slope",0.0385627720436056,0.0382358755311751,0.0283774752530245,0.0289186415159373,0.260438933089695,0.341175377190207,0.432309893701614,0.528268501575973,0.314909621077699,0.402536760765571,0.496863146524711,0.591413351299718,0.192448539422319,0.240415437601039,0.295956327888399,0.358276214323244,0.363708738005843,0.432878463882182,0.50476730295789,0.576459563556233,0.0500179101001089,0.102503700705194,0.00244316807380052,0.558604238459783
"M00010","Random_slope",0.0649827197695413,0.0740273331294882,0.0395628864116649,0.02389401156607,0.180252794198121,0.296335685598704,0.446460709865529,0.607030220331307,0.0153023232227811,0.0315520347602016,0.0639370727475868,0.125262751403477,0.16368175117679,0.225227862851527,0.301571117442604,0.390740976306723,0.302370590997415,0.355008701431748,0.41140640449096,0.470231673756778,0.0852787063303963,0.108911960529849,9.79881739843475e-05,0.21556078458361
